booking_id,hotel_name,city,country,hotel_type,room_type,booking_date,check_in_date,check_out_date,length_of_stay,num_guests,room_rate,total_revenue,customer_segment,booking_channel,is_cancelled,rating,adr,revpar,year,month,month_name,quarter,weekday,is_weekend,year_month,revenue_segment,stay_segment,occupancy_rate,cancellation_rate
BK010000,Budget Hotel Rome,Rome,IT,Budget,Deluxe,2023-04-13,2023-07-15,2023-07-16,1,1,97.84,97.84,Solo,Direct,0,4.0,97.84,97.84,2023,7,July,3,Saturday,True,2023-07,Low,Short (1-2),1.0,0.0
BK010001,Airport Hotel Toronto,Toronto,CA,Airport,Standard,2024-10-23,2024-12-15,2024-12-25,10,1,237.77,2377.75,Business,Booking.com,0,5.0,237.77,237.77,2024,12,December,4,Sunday,True,2024-12,Very High,Long (6-10),1.0,0.0
BK010002,Resort Hotel Paris,Paris,FR,Resort,Suite,2024-11-12,2024-11-27,2024-11-30,3,3,252.91,758.73,Solo,Trivago,0,4.3,252.91,252.91,2024,11,November,4,Wednesday,False,2024-11,High,Medium (3-5),1.0,0.0
BK010003,Luxury Hotel Berlin,Berlin,DE,Luxury,Double,2024-08-23,2024-10-22,2024-10-25,3,2,260.91,782.74,Couple,Trivago,0,3.7,260.91,260.91,2024,10,October,4,Tuesday,False,2024-10,High,Medium (3-5),1.0,0.0
BK010004,Resort Hotel Rome,Rome,IT,Resort,Double,2023-07-25,2023-10-14,2023-10-16,2,2,185.63,371.27,Solo,Hotels.com,0,3.9,185.63,185.63,2023,10,October,4,Saturday,True,2023-10,Medium,Short (1-2),1.0,0.0
BK010005,Airport Hotel Rome,Rome,IT,Airport,Suite,2023-06-11,2023-06-25,2023-06-29,4,2,166.07,664.27,Leisure,Trivago,0,4.0,166.07,166.07,2023,6,June,2,Sunday,True,2023-06,High,Medium (3-5),1.0,0.0
BK010006,Luxury Hotel New York,New York,US,Luxury,Single,2023-08-05,2023-12-07,2023-12-09,2,1,730.0,1460.0,Family,Booking.com,0,4.7,730.0,730.0,2023,12,December,4,Thursday,False,2023-12,Very High,Short (1-2),1.0,0.0
BK010007,Business Hotel Berlin,Berlin,DE,Business,Single,2024-02-23,2024-03-27,2024-03-30,3,2,86.55,259.66,Solo,Expedia,0,4.1,86.55,86.55,2024,3,March,1,Wednesday,False,2024-03,Medium,Medium (3-5),1.0,0.0
BK010008,Luxury Hotel Paris,Paris,FR,Luxury,Deluxe,2024-06-30,2024-10-09,2024-10-19,10,2,550.94,5509.42,Business,Expedia,0,4.5,550.94,550.94,2024,10,October,4,Wednesday,False,2024-10,Very High,Long (6-10),1.0,0.0
BK010009,Luxury Hotel Barcelona,Barcelona,ES,Luxury,Suite,2024-04-05,2024-10-01,2024-10-02,1,1,380.74,380.74,Solo,Trivago,0,4.7,380.74,380.74,2024,10,October,4,Tuesday,False,2024-10,Medium,Short (1-2),1.0,0.0
BK010010,Airport Hotel Paris,Paris,FR,Airport,Suite,2024-06-08,2024-11-15,2024-11-18,3,3,174.01,522.03,Couple,Trivago,1,,174.01,174.01,2024,11,November,4,Friday,False,2024-11,High,Medium (3-5),1.0,1.0
BK010011,Luxury Hotel New York,New York,US,Luxury,Single,2024-10-01,2025-01-01,2025-01-03,2,3,557.45,1114.89,Business,Expedia,1,,557.45,557.45,2025,1,January,1,Wednesday,False,2025-01,Very High,Short (1-2),1.0,1.0
BK010012,Luxury Hotel Dubai,Dubai,AE,Luxury,Twin,2023-12-25,2024-05-28,2024-05-30,2,1,475.17,950.35,Business,Trivago,0,3.5,475.17,475.17,2024,5,May,2,Tuesday,False,2024-05,High,Short (1-2),1.0,0.0
BK010013,Business Hotel Barcelona,Barcelona,ES,Business,Twin,2024-03-17,2024-05-08,2024-05-10,2,1,100.69,201.39,Business,Hotels.com,0,3.4,100.69,100.69,2024,5,May,2,Wednesday,False,2024-05,Medium,Short (1-2),1.0,0.0
BK010014,Budget Hotel London,London,GB,Budget,Suite,2023-08-13,2023-12-20,2023-12-22,2,2,201.98,403.96,Family,Trivago,0,2.6,201.98,201.98,2023,12,December,4,Wednesday,False,2023-12,Medium,Short (1-2),1.0,0.0
